district,state,sim1,sim2,sim3,sim4,sim5
dr. b. r. ambedkar konaseema,andhra pradesh,anakapalli (andhra pradesh),sri sathya sai (andhra pradesh),eluru (andhra pradesh),warangal urban (telangana),hanumakonda (telangana)
east godavari,andhra pradesh,visakhapatnam (andhra pradesh),west godavari (andhra pradesh),krishna (andhra pradesh),chittoor (andhra pradesh),guntur (andhra pradesh)
eluru,andhra pradesh,bapatla (andhra pradesh),sri sathya sai (andhra pradesh),anakapalli (andhra pradesh),dr. b. r. ambedkar konaseema (andhra pradesh),kakinada (andhra pradesh)
guntur,andhra pradesh,chittoor (andhra pradesh),kurnool (andhra pradesh),raipur (chhattisgarh),nagpur (maharashtra),krishna (andhra pradesh)
hyderabad,andhra pradesh,kendujhar (odisha),jammu (jammu and kashmir),kendrapara (odisha),thiruvarur (tamil nadu),ganganagar (rajasthan)
k.v. rangareddy,andhra pradesh,dhalai  (tripura),najafgarh (delhi),anjaw (arunachal pradesh),north sikkim (sikkim),nicobar (andaman and nicobar islands)
k.v.rangareddy,andhra pradesh,north sikkim (sikkim),nandurbar  (maharashtra),leh (jammu and kashmir),anugul (odisha),tawang (arunachal pradesh)
kakinada,andhra pradesh,palnadu (andhra pradesh),warangal rural (telangana),nandyal (andhra pradesh),nirmal (telangana),eluru (andhra pradesh)
karim nagar,andhra pradesh,nicobar (andaman and nicobar islands),mammit (mizoram),niwari (madhya pradesh),andamans (andaman and nicobar islands),kinnaur (himachal pradesh)
karimnagar,andhra pradesh,shupiyan (jammu and kashmir),sundargarh (odisha),lunglei (mizoram),uttar bastar kanker (chhattisgarh),dantewada (chhattisgarh)
khammam,andhra pradesh,adilabad (andhra pradesh),aizawl (mizoram),nalgonda (andhra pradesh),warangal (andhra pradesh),uttar bastar kanker (chhattisgarh)
krishna,andhra pradesh,chittoor (andhra pradesh),east godavari (andhra pradesh),west godavari (andhra pradesh),visakhapatnam (andhra pradesh),cuddapah (andhra pradesh)
kurnool,andhra pradesh,guntur (andhra pradesh),chittoor (andhra pradesh),visakhapatnam (andhra pradesh),nagpur (maharashtra),krishna (andhra pradesh)
mahabub nagar,andhra pradesh,ramban (jammu and kashmir),sepahijala (tripura),reasi (jammu and kashmir),champhai (mizoram),lohardaga (jharkhand)
mahabubnagar,andhra pradesh,bardez (goa),dhalai  (tripura),hingoli  (maharashtra),yamunanagar (haryana),lahaul and spiti (himachal pradesh)
mahbubnagar,andhra pradesh,gomati (tripura),unakoti (tripura),khowai (tripura),north tripura (tripura),the nilgiris (tamil nadu)
medak,andhra pradesh,boudh (odisha),khordha (odisha),sonapur (odisha),dadra and nagar haveli (dadra and nagar haveli and daman and diu),kishtwar (jammu and kashmir)
n. t. r,andhra pradesh,palnadu (andhra pradesh),kakinada (andhra pradesh),y. s. r (andhra pradesh),nandyal (andhra pradesh),warangal rural (telangana)
nalgonda,andhra pradesh,adilabad (andhra pradesh),uttar bastar kanker (chhattisgarh),aizawl (mizoram),kanker (chhattisgarh),gariyaband (chhattisgarh)
nandyal,andhra pradesh,palnadu (andhra pradesh),kakinada (andhra pradesh),nirmal (telangana),warangal rural (telangana),n. t. r (andhra pradesh)
nellore,andhra pradesh,raigarh (maharashtra),patiala (punjab),udham singh nagar (uttarakhand),parbhani (maharashtra),buldhana (maharashtra)
nizamabad,andhra pradesh,lunglei (mizoram),subarnapur (odisha),sundargarh (odisha),dantewada (chhattisgarh),karimnagar (andhra pradesh)
palnadu,andhra pradesh,kakinada (andhra pradesh),warangal rural (telangana),nandyal (andhra pradesh),nirmal (telangana),n. t. r (andhra pradesh)
parvathipuram manyam,andhra pradesh,karaikal (puducherry),muktsar (punjab),bageshwar (uttarakhand),samba (jammu and kashmir),budgam (jammu and kashmir)
prakasam,andhra pradesh,buldhana (maharashtra),parbhani (maharashtra),udham singh nagar (uttarakhand),bilaspur (chhattisgarh),nellore (andhra pradesh)
rangareddi,andhra pradesh,pathanamthitta (kerala),north east (delhi),the nilgiris (tamil nadu),nuapada (odisha),jajapur (odisha)
spsr nellore,andhra pradesh,east singhbum (jharkhand),gaurella pendra marwahi (chhattisgarh),gurugram (haryana),dinajpur dakshin (west bengal),ashoknagar (madhya pradesh)
sri potti sriramulu nellore,andhra pradesh,ayodhya (uttar pradesh),purulia (west bengal),chhatrapati sambhajinagar (maharashtra),mulugu (telangana),tirupati (andhra pradesh)
sri sathya sai,andhra pradesh,eluru (andhra pradesh),dr. b. r. ambedkar konaseema (andhra pradesh),anakapalli (andhra pradesh),hanumakonda (telangana),kakinada (andhra pradesh)
srikakulam,andhra pradesh,vizianagaram (andhra pradesh),chandrapur (maharashtra),rajnandgaon (chhattisgarh),west godavari (andhra pradesh),gondiya (maharashtra)
tirupati,andhra pradesh,chhatrapati sambhajinagar (maharashtra),shahdara (delhi),sri potti sriramulu nellore (andhra pradesh),chengalpattu (tamil nadu),koch bihar (west bengal)
visakhapatnam,andhra pradesh,east godavari (andhra pradesh),chittoor (andhra pradesh),krishna (andhra pradesh),west godavari (andhra pradesh),guntur (andhra pradesh)
vizianagaram,andhra pradesh,srikakulam (andhra pradesh),ananthapuramu (andhra pradesh),gondiya (maharashtra),west godavari (andhra pradesh),washim (maharashtra)
warangal,andhra pradesh,khammam (andhra pradesh),adilabad (andhra pradesh),nalgonda (andhra pradesh),uttar bastar kanker (chhattisgarh),aizawl (mizoram)
west godavari,andhra pradesh,east godavari (andhra pradesh),krishna (andhra pradesh),visakhapatnam (andhra pradesh),chittoor (andhra pradesh),vizianagaram (andhra pradesh)
y. s. r,andhra pradesh,annamayya (andhra pradesh),n. t. r (andhra pradesh),nandyal (andhra pradesh),palnadu (andhra pradesh),yadadri. (telangana)
anjaw,arunachal pradesh,najafgarh (delhi),dibang valley (arunachal pradesh),k.v. rangareddy (andhra pradesh),namsai (arunachal pradesh),north sikkim (sikkim)
changlang,arunachal pradesh,reasi (jammu and kashmir),sepahijala (tripura),east sikkim (sikkim),majuli (assam),sukma (chhattisgarh)
dibang valley,arunachal pradesh,anjaw (arunachal pradesh),najafgarh (delhi),k.v. rangareddy (andhra pradesh),pakke kessang (arunachal pradesh),gondia (maharashtra)
east kameng,arunachal pradesh,west siang (arunachal pradesh),lower dibang valley (arunachal pradesh),lohit (arunachal pradesh),upper subansiri (arunachal pradesh),kodarma (jharkhand)
east siang,arunachal pradesh,west (sikkim),lower subansiri (arunachal pradesh),lower dibang valley (arunachal pradesh),east kameng (arunachal pradesh),papum pare (arunachal pradesh)
kamle,arunachal pradesh,anugal (odisha),aurangabad(bh) (bihar),raebareli (uttar pradesh),kakching (manipur),sant ravidas nagar bhadohi (uttar pradesh)
kra daadi,arunachal pradesh,jiribam (manipur),shi-yomi (arunachal pradesh),siang (arunachal pradesh),lower siang (arunachal pradesh),wokha (nagaland)
kurung kumey,arunachal pradesh,lower subansiri (arunachal pradesh),upper siang (arunachal pradesh),east siang (arunachal pradesh),jiribam (manipur),west (sikkim)
leparada,arunachal pradesh,shi-yomi (arunachal pradesh),lower siang (arunachal pradesh),meluri (nagaland),rajauri (jammu and kashmir),tuticorin (tamil nadu)
lohit,arunachal pradesh,upper subansiri (arunachal pradesh),west siang (arunachal pradesh),west kameng (arunachal pradesh),east kameng (arunachal pradesh),tirap (arunachal pradesh)
longding,arunachal pradesh,kiphire (nagaland),longleng (nagaland),noklak (nagaland),zunheboto (nagaland),phek (nagaland)
lower dibang valley,arunachal pradesh,east kameng (arunachal pradesh),tirap (arunachal pradesh),east siang (arunachal pradesh),west siang (arunachal pradesh),lohit (arunachal pradesh)
lower siang,arunachal pradesh,shi-yomi (arunachal pradesh),siang (arunachal pradesh),lower subansiri (arunachal pradesh),jiribam (manipur),kurung kumey (arunachal pradesh)
lower subansiri,arunachal pradesh,east siang (arunachal pradesh),lower dibang valley (arunachal pradesh),west (sikkim),kurung kumey (arunachal pradesh),east kameng (arunachal pradesh)
namsai,arunachal pradesh,upper subansiri (arunachal pradesh),west siang (arunachal pradesh),lohit (arunachal pradesh),purnea (bihar),east kameng (arunachal pradesh)
pakke kessang,arunachal pradesh,dibang valley (arunachal pradesh),k.v. rangareddy (andhra pradesh),gondia (maharashtra),washim  (maharashtra),janjgir champa (chhattisgarh)
papum pare,arunachal pradesh,west (sikkim),east siang (arunachal pradesh),mokokchung (nagaland),ukhrul (manipur),pashchimi singhbhum (jharkhand)
shi-yomi,arunachal pradesh,lower siang (arunachal pradesh),siang (arunachal pradesh),kra daadi (arunachal pradesh),jiribam (manipur),kurung kumey (arunachal pradesh)
siang,arunachal pradesh,jiribam (manipur),west (sikkim),shi-yomi (arunachal pradesh),lower siang (arunachal pradesh),east siang (arunachal pradesh)
tawang,arunachal pradesh,nandurbar  (maharashtra),leh (jammu and kashmir),north sikkim (sikkim),purnea (bihar),k.v.rangareddy (andhra pradesh)
tirap,arunachal pradesh,lower dibang valley (arunachal pradesh),lohit (arunachal pradesh),upper subansiri (arunachal pradesh),east kameng (arunachal pradesh),west siang (arunachal pradesh)
upper siang,arunachal pradesh,kurung kumey (arunachal pradesh),lower subansiri (arunachal pradesh),lower dibang valley (arunachal pradesh),namsai (arunachal pradesh),upper subansiri (arunachal pradesh)
upper subansiri,arunachal pradesh,lohit (arunachal pradesh),west siang (arunachal pradesh),namsai (arunachal pradesh),east kameng (arunachal pradesh),tirap (arunachal pradesh)
west kameng,arunachal pradesh,purnea (bihar),kodarma (jharkhand),lohit (arunachal pradesh),east sikkim (sikkim),east kameng (arunachal pradesh)
west siang,arunachal pradesh,upper subansiri (arunachal pradesh),east kameng (arunachal pradesh),lohit (arunachal pradesh),lower dibang valley (arunachal pradesh),namsai (arunachal pradesh)
bajali,assam,namchi (sikkim),sribhumi (assam),warangal (urban) (telangana),manendragarh–chirmiri–bharatpur (chhattisgarh),dharashiv (maharashtra)
baksa,assam,udalguri (assam),kokrajhar (assam),chhotaudepur (gujarat),kamrup metro (assam),chirang (assam)
barpeta,assam,patan (gujarat),katni (madhya pradesh),burhanpur (madhya pradesh),gwalior (madhya pradesh),panna (madhya pradesh)
biswanath,assam,charaideo (assam),sepahijala (tripura),reasi (jammu and kashmir),changlang (arunachal pradesh),mahabub nagar (andhra pradesh)
bongaigaon,assam,jajpur (odisha),malkangiri (odisha),mumbai city (maharashtra),punch (jammu and kashmir),thiruvarur (tamil nadu)
cachar,assam,kamrup (assam),barpeta (assam),morbi (gujarat),gwalior (madhya pradesh),burhanpur (madhya pradesh)
charaideo,assam,biswanath (assam),north twenty four parganas (west bengal),south twenty four parganas (west bengal),sibsagar (assam),hazaribag (jharkhand)
chirang,assam,chhotaudepur (gujarat),kokrajhar (assam),baksa (assam),datia (madhya pradesh),jamtara (jharkhand)
darrang,assam,dhemaji (assam),hailakandi (assam),kamrup (assam),dibrugarh (assam),hojai (assam)
dhemaji,assam,darrang (assam),hailakandi (assam),bijapur (chhattisgarh),kamrup (assam),dibrugarh (assam)
dhubri,assam,sonitpur (assam),darjeeling (west bengal),marigaon (assam),rampur (uttar pradesh),goalpara (assam)
dibrugarh,assam,hojai (assam),morbi (gujarat),hailakandi (assam),bijapur (chhattisgarh),darrang (assam)
dima hasao,assam,jalore (rajasthan),eastern west khasi hills (meghalaya),khawzawl (mizoram),bulandshahar (uttar pradesh),kalimpong (west bengal)
goalpara,assam,sonitpur (assam),marigaon (assam),dhubri (assam),golaghat (assam),jorhat (assam)
golaghat,assam,sonitpur (assam),south west garo hills (meghalaya),marigaon (assam),karimganj (assam),goalpara (assam)
hailakandi,assam,dibrugarh (assam),bijapur (chhattisgarh),hojai (assam),udalguri (assam),morbi (gujarat)
hojai,assam,dibrugarh (assam),morbi (gujarat),hailakandi (assam),bijapur (chhattisgarh),gir somnath (gujarat)
jorhat,assam,lakhimpur (assam),sibsagar (assam),marigaon (assam),darrang (assam),dhemaji (assam)
kamrup,assam,cachar (assam),morbi (gujarat),darrang (assam),dibrugarh (assam),hojai (assam)
kamrup metro,assam,kokrajhar (assam),baksa (assam),udalguri (assam),chhotaudepur (gujarat),burhanpur (madhya pradesh)
karbi anglong,assam,jhabua (madhya pradesh),sirohi (rajasthan),alirajpur (madhya pradesh),mainpuri (uttar pradesh),sheopur (madhya pradesh)
karimganj,assam,marigaon (assam),dhemaji (assam),darrang (assam),lakhimpur (assam),kamrup (assam)
kokrajhar,assam,chhotaudepur (gujarat),chirang (assam),baksa (assam),kamrup metro (assam),datia (madhya pradesh)
lakhimpur,assam,jorhat (assam),marigaon (assam),darrang (assam),dhemaji (assam),balrampur (chhattisgarh)
majuli,assam,saiha (mizoram),kargil (jammu and kashmir),kargil (ladakh),changlang (arunachal pradesh),kasargod (kerala)
marigaon,assam,dhubri (assam),sonitpur (assam),lakhimpur (assam),jorhat (assam),goalpara (assam)
nagaon,assam,dhar (madhya pradesh),bhilwara (rajasthan),ludhiana (punjab),panna (madhya pradesh),saharanpur (uttar pradesh)
nalbari,assam,doda (jammu and kashmir),udalguri (assam),hailakandi (assam),baksa (assam),chhotaudepur (gujarat)
north cachar hills,assam,new delhi (delhi),majuli (assam),changlang (arunachal pradesh),west sikkim (sikkim),baksa (assam)
sibsagar,assam,jorhat (assam),lakhimpur (assam),nalbari (assam),botad (gujarat),darrang (assam)
sivasagar,assam,nabarangpur (odisha),24 paraganas south (west bengal),s.a.s nagar (punjab),shopian (jammu and kashmir),ranga reddy (telangana)
sonitpur,assam,goalpara (assam),dhubri (assam),marigaon (assam),darjeeling (west bengal),golaghat (assam)
south salmara mankachar,assam,chengalpattu (tamil nadu),shahdara (delhi),jayashankar bhupalpally (telangana),darjiling (west bengal),vikarabad (telangana)
sribhumi,assam,khairagarh chhuikhadan gandai (chhattisgarh),dharashiv (maharashtra),manendragarh–chirmiri–bharatpur (chhattisgarh),sarangarh-bilaigarh (chhattisgarh),bajali (assam)
tamulpur district,assam,deeg (rajasthan),purba champaran (bihar),manendragarh–chirmiri–bharatpur (chhattisgarh),bhabua (bihar),south 24 pargana (west bengal)
tinsukia,assam,sonitpur (assam),goalpara (assam),golaghat (assam),south west garo hills (meghalaya),puruliya (west bengal)
udalguri,assam,baksa (assam),hailakandi (assam),chhotaudepur (gujarat),nalbari (assam),kamrup metro (assam)
west karbi anglong,assam,peren (nagaland),north cachar hills (assam),dohad (gujarat),barabanki (uttar pradesh),south sikkim (sikkim)
araria,bihar,pilibhit (uttar pradesh),barmer (rajasthan),darbhanga (bihar),begusarai (bihar),ranchi (jharkhand)
arwal,bihar,churachandpur (manipur),nawada (bihar),mau (uttar pradesh),aurangabad (bihar),zunheboto (nagaland)
aurangabad,bihar,rohtas (bihar),patna (bihar),mau (uttar pradesh),shrawasti (uttar pradesh),jaunpur (uttar pradesh)
aurangabad(bh),bihar,purba champaran (bihar),sant ravidas nagar bhadohi (uttar pradesh),chumukedima (nagaland),samstipur (bihar),bhabua (bihar)
banka,bihar,fatehpur (uttar pradesh),bikaner (rajasthan),supaul (bihar),deoghar (jharkhand),khagaria (bihar)
begusarai,bihar,shivpuri (madhya pradesh),dhule (maharashtra),udaipur (rajasthan),dhanbad (jharkhand),darbhanga (bihar)
bhabua,bihar,sant ravidas nagar bhadohi (uttar pradesh),aurangabad(bh) (bihar),purba champaran (bihar),monghyr (bihar),samstipur (bihar)
bhagalpur,bihar,hardoi (uttar pradesh),unnao (uttar pradesh),kanpur nagar (uttar pradesh),muzaffarpur (bihar),madhubani (bihar)
bhojpur,bihar,nalanda (bihar),buxar (bihar),jehanabad (bihar),west champaran (bihar),patna (bihar)
buxar,bihar,nalanda (bihar),shrawasti (uttar pradesh),munger (bihar),jehanabad (bihar),aurangabad (bihar)
darbhanga,bihar,araria (bihar),begusarai (bihar),dhanbad (jharkhand),dhule (maharashtra),muzaffarnagar (uttar pradesh)
east champaran,bihar,saran (bihar),patna (bihar),maharajganj (uttar pradesh),gopalganj (bihar),aurangabad (bihar)
gaya,bihar,saran (bihar),azamgarh (uttar pradesh),nawada (bihar),patna (bihar),maharajganj (uttar pradesh)
gopalganj,bihar,siddharthnagar (uttar pradesh),balrampur (uttar pradesh),maharajganj (uttar pradesh),azamgarh (uttar pradesh),gorakhpur (uttar pradesh)
jamui,bihar,sultanpur (uttar pradesh),saharsa (bihar),banda (uttar pradesh),sheopur (madhya pradesh),kanpur dehat (uttar pradesh)
jehanabad,bihar,nalanda (bihar),buxar (bihar),aurangabad (bihar),bhojpur (bihar),patna (bihar)
kaimur (bhabua),bihar,ballia (uttar pradesh),lakhisarai (bihar),ghazipur (uttar pradesh),mau (uttar pradesh),balrampur (uttar pradesh)
katihar,bihar,malappuram (kerala),north east delhi (delhi),aurangabad (maharashtra),ranchi (jharkhand),palghar (maharashtra)
khagaria,bihar,kanpur dehat (uttar pradesh),baghpat (uttar pradesh),kasganj (uttar pradesh),chatra (jharkhand),supaul (bihar)
kishanganj,bihar,thanjavur (tamil nadu),ratlam (madhya pradesh),tikamgarh (madhya pradesh),nalgonda (telangana),mayurbhanj (odisha)
lakhisarai,bihar,kannauj (uttar pradesh),kaimur (bhabua) (bihar),banda (uttar pradesh),ambedkar nagar (uttar pradesh),chandauli (uttar pradesh)
madhepura,bihar,ambedkar nagar (uttar pradesh),mathura (uttar pradesh),basti (uttar pradesh),deoria (uttar pradesh),amethi (uttar pradesh)
madhubani,bihar,hardoi (uttar pradesh),muzaffarpur (bihar),kanpur nagar (uttar pradesh),aligarh (uttar pradesh),lucknow (uttar pradesh)
monghyr,bihar,samstipur (bihar),bulandshahar (uttar pradesh),jyotiba phule nagar (uttar pradesh),purba champaran (bihar),sant ravidas nagar bhadohi (uttar pradesh)
munger,bihar,shrawasti (uttar pradesh),chandauli (uttar pradesh),lakhisarai (bihar),kaimur (bhabua) (bihar),kushinagar (uttar pradesh)
muzaffarpur,bihar,hardoi (uttar pradesh),kanpur nagar (uttar pradesh),madhubani (bihar),kheri (uttar pradesh),aligarh (uttar pradesh)
nalanda,bihar,bhojpur (bihar),patna (bihar),buxar (bihar),jehanabad (bihar),saran (bihar)
nawada,bihar,gaya (bihar),arwal (bihar),azamgarh (uttar pradesh),churachandpur (manipur),aurangabad (bihar)
pashchim champaran,bihar,south garo hills (meghalaya),north garo hills (meghalaya),east garo hills (meghalaya),west khasi hills (meghalaya),ri bhoi (meghalaya)
patna,bihar,saran (bihar),east champaran (bihar),aurangabad (bihar),gaya (bihar),nalanda (bihar)
purba champaran,bihar,aurangabad(bh) (bihar),chumukedima (nagaland),sant ravidas nagar bhadohi (uttar pradesh),samstipur (bihar),monghyr (bihar)
purbi champaran,bihar,siddharth nagar (uttar pradesh),shravasti (uttar pradesh),coochbehar (west bengal),dinajpur uttar (west bengal),ashoknagar (madhya pradesh)
purnea,bihar,west kameng (arunachal pradesh),lohit (arunachal pradesh),khowai (tripura),kodarma (jharkhand),east sikkim (sikkim)
purnia,bihar,samastipur (bihar),udaipur (rajasthan),araria (bihar),begusarai (bihar),shivpuri (madhya pradesh)
rohtas,bihar,mau (uttar pradesh),ghazipur (uttar pradesh),shrawasti (uttar pradesh),ballia (uttar pradesh),aurangabad (bihar)
saharsa,bihar,sultanpur (uttar pradesh),banda (uttar pradesh),gonda (uttar pradesh),jamui (bihar),mathura (uttar pradesh)
samastipur,bihar,udaipur (rajasthan),purnia (bihar),bulandshahr (uttar pradesh),begusarai (bihar),shivpuri (madhya pradesh)
samstipur,bihar,sant ravidas nagar bhadohi (uttar pradesh),aurangabad(bh) (bihar),monghyr (bihar),chumukedima (nagaland),purba champaran (bihar)
saran,bihar,patna (bihar),east champaran (bihar),maharajganj (uttar pradesh),gaya (bihar),aurangabad (bihar)
sheikhpura,bihar,sant ravidas nagar (uttar pradesh),kaimur (bhabua) (bihar),lakhisarai (bihar),sant kabir nagar (uttar pradesh),mau (uttar pradesh)
sheikpura,bihar,niuland (nagaland),rajauri (jammu and kashmir),sahibganj (jharkhand),shi-yomi (arunachal pradesh),south (sikkim)
sheohar,bihar,koderma (jharkhand),ramgarh (jharkhand),sukma (chhattisgarh),jaisalmer (rajasthan),lohardaga (jharkhand)
sitamarhi,bihar,shahjahanpur (uttar pradesh),agra (uttar pradesh),sitapur (uttar pradesh),barwani (madhya pradesh),aligarh (uttar pradesh)
siwan,bihar,gorakhpur (uttar pradesh),siddharthnagar (uttar pradesh),varanasi (uttar pradesh),vaishali (bihar),balrampur (uttar pradesh)
supaul,bihar,pratapgarh (uttar pradesh),sambhal (uttar pradesh),banka (bihar),fatehpur (uttar pradesh),khagaria (bihar)
vaishali,bihar,kheri (uttar pradesh),gonda (uttar pradesh),saharsa (bihar),varanasi (uttar pradesh),siwan (bihar)
west champaran,bihar,east champaran (bihar),budaun (uttar pradesh),ghaziabad (uttar pradesh),buxar (bihar),gautam buddha nagar (uttar pradesh)
chandigarh,chandigarh,kawardha (chhattisgarh),sangrur (punjab),washim (maharashtra),ananthapuramu (andhra pradesh),kanniyakumari (tamil nadu)
rupnagar,chandigarh,east midnapur (west bengal),tirupathur (tamil nadu),lahaul and spiti (himachal pradesh),nicobars (andaman and nicobar islands),yanam (puducherry)
balod,chhattisgarh,wardha (maharashtra),bhandara (maharashtra),dhamtari (chhattisgarh),sindhudurg (maharashtra),ratnagiri (maharashtra)
baloda bazar,chhattisgarh,raigarh (chhattisgarh),satara (maharashtra),raipur (chhattisgarh),janjgir-champa (chhattisgarh),korba (chhattisgarh)
balrampur,chhattisgarh,howrah (west bengal),south twenty four parganas (west bengal),hooghly (west bengal),mumbai suburban (maharashtra),bongaigaon (assam)
bastar,chhattisgarh,baran (rajasthan),tonk (rajasthan),dausa (rajasthan),kota (rajasthan),garhwa (jharkhand)
bemetara,chhattisgarh,washim (maharashtra),bathinda (punjab),mungeli (chhattisgarh),durg (chhattisgarh),ratnagiri (maharashtra)
bijapur,chhattisgarh,hailakandi (assam),dibrugarh (assam),morbi (gujarat),hojai (assam),udalguri (assam)
bilaspur,chhattisgarh,salem (tamil nadu),prakasam (andhra pradesh),ganjam (odisha),bangalore (karnataka),coimbatore (tamil nadu)
dakshin bastar dantewada,chhattisgarh,the dangs (gujarat),uttarkashi (uttarakhand),khordha (odisha),sonapur (odisha),dadra and nagar haveli (dadra and nagar haveli and daman and diu)
dantewada,chhattisgarh,sundargarh (odisha),lunglei (mizoram),shupiyan (jammu and kashmir),purbi singhbhum (jharkhand),karimnagar (andhra pradesh)
dhamtari,chhattisgarh,bhandara (maharashtra),balod (chhattisgarh),wardha (maharashtra),ananthapur (andhra pradesh),ratnagiri (maharashtra)
durg,chhattisgarh,janjgir-champa (chhattisgarh),akola (maharashtra),raigarh (chhattisgarh),bemetara (chhattisgarh),washim (maharashtra)
gariyaband,chhattisgarh,kanker (chhattisgarh),fazilka (punjab),fatehgarh sahib (punjab),sri muktsar sahib (punjab),moga (punjab)
gaurela-pendra-marwahi,chhattisgarh,gondiya  (maharashtra),palamau (jharkhand),peddapalli (telangana),raigarh(mh) (maharashtra),warangal urban (telangana)
gaurella pendra marwahi,chhattisgarh,dinajpur dakshin (west bengal),s.a.s nagar (punjab),spsr nellore (andhra pradesh),medchal malkajgiri (telangana),sivasagar (assam)
janjgir - champa,chhattisgarh,garhwal (uttarakhand),yamunanagar (haryana),chamarajanagar  (karnataka),haveri  (karnataka),gadag  (karnataka)
janjgir champa,chhattisgarh,yanam (puducherry),garhwal (uttarakhand),north (sikkim),janjgir - champa (chhattisgarh),hardwar (uttarakhand)
janjgir-champa,chhattisgarh,durg (chhattisgarh),raigarh (chhattisgarh),akola (maharashtra),baloda bazar (chhattisgarh),rajnandgaon (chhattisgarh)
jashpur,chhattisgarh,south tripura (tripura),koriya (chhattisgarh),simdega (jharkhand),west tripura (tripura),north tripura (tripura)
kabeerdham,chhattisgarh,faridkot (punjab),buldana (maharashtra),sri muktsar sahib (punjab),ferozepur (punjab),south goa (goa)
kanker,chhattisgarh,gariyaband (chhattisgarh),fazilka (punjab),gajapati (odisha),idukki (kerala),ariyalur (tamil nadu)
kawardha,chhattisgarh,chandigarh (chandigarh),mungeli (chhattisgarh),bemetara (chhattisgarh),fazilka (punjab),bathinda (punjab)
khairagarh chhuikhadan gandai,chhattisgarh,dharashiv (maharashtra),north dinajpur (west bengal),sribhumi (assam),sarangarh-bilaigarh (chhattisgarh),jayashankar bhupalpally (telangana)
kondagaon,chhattisgarh,latehar (jharkhand),south tripura (tripura),mahoba (uttar pradesh),jashpur (chhattisgarh),sonbhadra (uttar pradesh)
korba,chhattisgarh,mungeli (chhattisgarh),akola (maharashtra),raigarh (chhattisgarh),baloda bazar (chhattisgarh),adilabad (telangana)
koriya,chhattisgarh,simdega (jharkhand),north tripura (tripura),west tripura (tripura),pathanamthitta (kerala),jashpur (chhattisgarh)
mahasamund,chhattisgarh,surguja (chhattisgarh),bangalore rural (karnataka),north delhi (delhi),kawardha (chhattisgarh),chandigarh (chandigarh)
manendragarh–chirmiri–bharatpur,chhattisgarh,sribhumi (assam),khairagarh chhuikhadan gandai (chhattisgarh),north dinajpur (west bengal),bajali (assam),dharashiv (maharashtra)
mohalla-manpur-ambagarh chowki,chhattisgarh,jangaon (telangana),monghyr (bihar),jyotiba phule nagar (uttar pradesh),medinipur (west bengal),saitual (mizoram)
