state_clean,district,age_0_5,age_5_17,age_18_greater,total_enrolments,youth_pct,demo_age_5_17,demo_age_17_,demo_total,bio_age_5_17,bio_age_17_,bio_total,update_total,update_load,bio_stress,coverage_gap,seasonal_cv,trend_slope,recent_growth,log_enrol,log_update_load,log_bio_stress,state_enrol_share,state_update_share,data_issue,issue_reason,update_load_capped,bio_stress_capped,OPI_raw,OPI,youth_pct_band,update_load_capped_band,bio_stress_capped_band,coverage_gap_band,cluster,x,y,cluster_label,cluster_signature,_cluster_centroid_dist
andhra pradesh,ananthapuramu,3018,159,10,3187,4.9890178851568905,11812.0,44132.0,55944.0,90533.0,19069.0,109602.0,165546.0,51.94414810164671,34390.33573892865,0.0,0.0,0.0,0.0,8.067149039910106,3.969237548501702,10.445559943583005,0.024959666682329896,0.027544106159263847,False,OK,5.0,2000.0,26.49670536604597,26.49670536604597,Low,High,High,High,0,1.598729191943036,-0.5514895604734719,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,0.8608832613093311
andhra pradesh,annamayya,868,48,105,1021,4.7012732615037205,5789.0,27845.0,33634.0,5790.0,3922.0,9712.0,43346.0,42.45445641523756,9512.242899109195,0.7112445739430424,0.0,0.0,0.0,6.92951677076365,3.7717134106692565,9.160440096267346,0.007996178124461507,0.007212054810019275,False,OK,5.0,2000.0,58.41638780635816,58.41638780635816,Low,High,High,High,1,-0.2991735302224974,-1.7221369084623093,Extreme Youth Gap Districts,Very High Coverage Gap + High Youth + Low Update Activity,1.0186203664128775
andhra pradesh,bapatla,421,55,16,492,11.178861788595166,2008.0,11506.0,13514.0,3899.0,2083.0,5982.0,19496.0,39.62601626008206,12158.53658534114,0.5573479354743557,0.0,0.0,0.0,6.20050917404269,3.704408655969805,9.405869045035832,0.0038532023871058387,0.0032438107455390526,False,OK,5.0,2000.0,53.43431563404244,53.43431563404244,Low,High,High,High,1,-0.1402334106888053,-1.5955129813621192,Extreme Youth Gap Districts,Very High Coverage Gap + High Youth + Low Update Activity,0.7082362140801735
andhra pradesh,chittoor,7497,659,43,8199,8.037565556774236,28657.0,140979.0,169636.0,168727.0,82711.0,251438.0,421074.0,51.35675082326486,30666.91059884978,0.0,0.0,0.0,0.0,9.011889433252344,3.9580808845567406,10.330972129546382,0.06421220807292839,0.0700597233210459,False,OK,5.0,2000.0,27.41126966783603,27.41126966783603,Low,High,High,High,0,1.5955312854986625,-0.12326189236411224,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,0.8268199341232291
andhra pradesh,cuddapah,5519,413,2,5934,6.959892146948607,11074.0,72593.0,83667.0,115127.0,55669.0,170796.0,254463.0,42.88220424670662,28782.608695647323,0.0,0.0,0.0,0.0,8.688622307043769,3.7815088676619277,10.267561361588713,0.046473380010337496,0.04233841884192162,False,OK,5.0,2000.0,27.08796764478057,27.08796764478057,Low,High,High,High,0,1.456836512302795,-0.2174269546311254,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,0.6640697191338747
andhra pradesh,dr. b. r. ambedkar konaseema,618,30,17,665,4.511278195481938,1752.0,12404.0,14156.0,4352.0,2954.0,7306.0,21462.0,32.27368421047778,10986.466165397014,0.48389375529814327,0.0,0.0,0.0,6.501289670540389,3.5047668206136184,9.304510462616406,0.0052080885923280135,0.0035709205078354096,False,OK,5.0,2000.0,48.12860244751216,48.12860244751216,Low,High,High,High,1,-0.03826666935485004,-1.5377906745544854,Extreme Youth Gap Districts,Very High Coverage Gap + High Youth + Low Update Activity,0.9739673271109065
andhra pradesh,east godavari,7161,507,10,7678,6.603282104713909,19090.0,136935.0,156025.0,204904.0,96946.0,301850.0,457875.0,59.63467048709825,39313.623339406186,0.0,0.0,0.0,0.0,8.946244609330543,4.104866849726021,10.579351823797404,0.06013188603292405,0.07618279878506841,False,OK,5.0,2000.0,26.980984632074502,26.980984632074502,Low,High,High,High,0,1.7751164073302674,-0.23412248844775294,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,1.0073965109160021
andhra pradesh,eluru,568,45,16,629,7.154213036554603,2346.0,15238.0,17584.0,4288.0,3942.0,8230.0,25814.0,41.03974562791568,13084.260731298753,0.5319608735214096,0.0,0.0,0.0,6.4457198193855785,3.738615495274833,9.479241740734297,0.004926146954247099,0.004295021059978719,False,OK,5.0,2000.0,51.08450322014524,51.08450322014524,Low,High,High,High,1,0.02718418174903591,-1.606845495057983,Extreme Youth Gap Districts,Very High Coverage Gap + High Youth + Low Update Activity,0.9176776288895984
andhra pradesh,guntur,8769,925,35,9729,9.507657518757373,22026.0,155195.0,177221.0,187665.0,104029.0,291694.0,468915.0,48.19765649089853,29981.909754339606,0.0,0.0,0.0,0.0,9.18296917518005,3.895845990064998,10.308382823462575,0.07619472769136729,0.07801967150925548,False,OK,5.0,2000.0,27.85229725657798,27.85229725657798,Low,High,High,High,0,1.545135611367238,-0.0016788493437832539,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,0.7863828548407851
andhra pradesh,hyderabad,3831,1008,1,4840,20.826446280987433,4382.0,31824.0,36206.0,23363.0,82381.0,105744.0,141950.0,29.328512396688154,21847.933884293005,0.0,0.0,0.0,0.0,8.484876589939695,3.4120882732404016,9.991907406852475,0.03790548689754524,0.023618123478111843,False,OK,5.0,2000.0,31.247933886378874,31.247933886378874,Mid,High,High,High,0,0.9355065535946556,0.2240515178747239,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,0.33259993177674896
andhra pradesh,k.v. rangareddy,15,4,0,19,21.052631577839335,32.0,134.0,166.0,216.0,188.0,404.0,570.0,29.999999998421053,21263.15789361773,0.0,0.0,0.0,0.0,2.995732273553991,3.4339872044342123,9.964778206321325,0.00014880253120937184,9.483853739009335e-05,False,OK,5.0,2000.0,31.315789475457063,31.315789475457063,Mid,High,High,High,5,0.46077136981381606,-1.719534937286477,Mixed Operational Districts,Moderate Across Metrics (Needs Case-by-Case Review),0.7483969885850766
andhra pradesh,k.v.rangareddy,55,14,0,69,20.28985507216971,48.0,470.0,518.0,168.0,605.0,773.0,1291.0,18.71014492726507,11202.898550562277,0.0,0.0,0.0,0.0,4.248495242049359,2.9811334741190807,9.324017081587334,0.0005403881396550871,0.00021480096801861494,False,OK,5.0,2000.0,31.0869565236799,31.0869565236799,Mid,High,High,High,5,0.10997068847599786,-1.158298220941709,Mixed Operational Districts,Moderate Across Metrics (Needs Case-by-Case Review),0.3781715938334185
andhra pradesh,kakinada,858,84,27,969,8.668730650145854,3621.0,24648.0,28269.0,7141.0,4557.0,11698.0,39967.0,41.24561403504516,12072.239422072165,0.5861898192366343,0.0,0.0,0.0,6.877296071497429,3.743500538593154,9.398746664335302,0.007588929091677963,0.0066498453050348435,False,OK,5.0,2000.0,53.979161061559175,53.979161061559175,Low,High,High,High,1,-0.07687381327756419,-1.4738095185259659,Extreme Youth Gap Districts,Very High Coverage Gap + High Youth + Low Update Activity,0.8610667357736402
andhra pradesh,karim nagar,71,11,0,82,13.41463414617787,82.0,1069.0,1151.0,387.0,1310.0,1697.0,2848.0,34.73170731664961,20695.121950967132,0.0,0.0,0.0,0.0,4.418840607796598,3.576038454735006,9.937701616338218,0.0006422003978509731,0.00047385992015260676,False,OK,5.0,2000.0,29.024390245194827,29.024390245194827,Low,High,High,High,5,0.7695228836450365,-1.4780690464033994,Mixed Operational Districts,Moderate Across Metrics (Needs Case-by-Case Review),0.8032597095520545
andhra pradesh,karimnagar,552,107,0,659,16.2367223065004,967.0,9364.0,10331.0,4338.0,12789.0,17127.0,27458.0,41.66616084970916,25989.377845180592,0.0,0.0,0.0,0.0,6.492239835020471,3.753406120096294,10.16548166562838,0.005161098319314528,0.0045685553678196196,False,OK,5.0,2000.0,29.871016693573793,29.871016693573793,Mid,High,High,High,0,1.086585281464955,-0.7159353001136143,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,0.9016266029351663
andhra pradesh,khammam,869,264,0,1133,23.30097087376584,4648.0,27720.0,32368.0,15536.0,25422.0,40958.0,73326.0,64.71844660188462,36150.04413059475,0.0,0.0,0.0,0.0,7.033506484287697,4.185379656278102,10.495461110450426,0.008873329887379908,0.012200229109940324,False,OK,5.0,2000.0,31.99029126445985,31.99029126445985,Mid,High,High,High,0,1.3955127953375401,-0.4477753588394827,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,1.1221998905184247
andhra pradesh,krishna,6163,540,34,6737,8.015437138190883,13459.0,98390.0,111849.0,146788.0,86459.0,233247.0,345096.0,51.223986937798536,34621.790114289055,0.0,0.0,0.0,0.0,8.815518423966498,3.955541909222863,10.452267418038804,0.05276224488197568,0.05741824543714325,False,OK,5.0,2000.0,27.404631142258808,27.404631142258808,Low,High,High,High,0,1.6146788890008268,-0.19454041793932722,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,0.8056143395498815
andhra pradesh,kurnool,10923,823,24,11770,6.992353440950977,29378.0,148267.0,177645.0,242992.0,107641.0,350633.0,528278.0,44.88343245539126,29790.399320303328,0.0,0.0,0.0,0.0,9.37339415841248,3.8261041032245573,10.30197501742399,0.09217925222812139,0.08789668921993637,False,OK,5.0,2000.0,27.097706032984526,27.097706032984526,Low,High,High,High,0,1.5532708745210242,0.012737892439466193,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,0.8654713418009118
andhra pradesh,mahabub nagar,1079,432,0,1511,28.590337524799082,444.0,12369.0,12813.0,822.0,13030.0,13852.0,26665.0,17.647253474508506,9167.438782257335,0.0,0.0,0.0,0.0,7.321188556739479,2.9256988684626215,9.12352229800312,0.011833717087229518,0.004436613332468139,False,OK,5.0,2000.0,33.57710126029876,33.57710126029876,Mid,High,High,High,0,0.16398258435592697,0.19044224696188278,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,1.0946239967765408
andhra pradesh,mahabubnagar,7,0,0,7,0.0,13.0,68.0,81.0,39.0,81.0,120.0,201.0,28.714285710183674,17142.857140408163,0.0,0.0,0.0,0.0,2.0794415416798357,3.3916279305079553,9.74939520419803,5.4821985182400146e-05,3.344306318492765e-05,False,OK,5.0,2000.0,25.0,25.0,Low,High,High,High,5,0.58716478210126,-2.641120979272731,Mixed Operational Districts,Moderate Across Metrics (Needs Case-by-Case Review),1.688146282680094
andhra pradesh,mahbubnagar,511,211,0,722,29.224376731261465,1254.0,8643.0,9897.0,3060.0,11679.0,14739.0,24636.0,34.12188365646244,20414.12742379444,0.0,0.0,0.0,0.0,6.583409222158765,3.5588244021937214,9.924031445409163,0.005654496185956129,0.004099021416039192,False,OK,5.0,2000.0,33.767313022300876,33.767313022300876,Mid,High,High,High,0,0.7191194681147768,-0.24631685890265162,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,1.0851029209250531
andhra pradesh,medak,1176,229,1,1406,16.287339971538913,1711.0,11252.0,12963.0,6281.0,16164.0,22445.0,35408.0,25.183499288744535,15963.726884768163,0.0,0.0,0.0,0.0,7.249215057114389,3.265129414221373,9.678136997878731,0.011011387309493515,0.005891303389313027,False,OK,5.0,2000.0,29.886201993090406,29.886201993090406,Mid,High,High,High,0,0.7072304283695802,-0.29875582784701615,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,0.5240011596707266
andhra pradesh,n. t. r,790,97,46,933,10.396570203633015,4718.0,33352.0,38070.0,6788.0,6771.0,13559.0,51629.0,55.33654876735763,14532.690246501037,0.6438402941949135,0.0,0.0,0.0,6.839476438228843,4.031343503336527,9.584224698612951,0.007306987453597048,0.008590208503356367,False,OK,5.0,2000.0,57.09178430090067,57.09178430090067,Low,High,High,High,1,0.0215388910717189,-1.590127807376638,Extreme Youth Gap Districts,Very High Coverage Gap + High Youth + Low Update Activity,1.0527439410533153
andhra pradesh,nalgonda,951,216,0,1167,18.50899742929005,1623.0,28221.0,29844.0,5640.0,27013.0,32653.0,62497.0,53.55355612677502,27980.29134530593,0.0,0.0,0.0,0.0,7.0630481633881725,3.9991829003793127,10.239291399595722,0.009139608101122996,0.01039846328292748,False,OK,5.0,2000.0,30.552699230637913,30.552699230637913,Mid,High,High,High,0,1.2747439967448666,-0.5193816879240599,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,0.8542763269841521
andhra pradesh,nandyal,860,39,6,905,4.309392265188609,4798.0,22587.0,27385.0,6337.0,4303.0,10640.0,38025.0,42.016574585588934,11756.906077335076,0.6114661310936786,0.0,0.0,0.0,6.80903930604298,3.7615854969034963,9.372281150950629,0.0070876995128674476,0.006326728744312806,False,OK,5.0,2000.0,53.80879357920306,53.80879357920306,Low,High,High,High,1,-0.06416753124622693,-1.6592842636890435,Extreme Youth Gap Districts,Very High Coverage Gap + High Youth + Low Update Activity,0.9963012415686959
andhra pradesh,nellore,4611,754,2,5367,14.048816843671688,7111.0,61012.0,68123.0,99065.0,59412.0,158477.0,226600.0,42.22098006334223,29528.0417365326,0.0,0.0,0.0,0.0,8.588210678651517,3.7663260269748613,10.293129523704586,0.042032799210563083,0.037702478197535354,False,OK,5.0,2000.0,29.214645054506388,29.214645054506388,Low,High,High,High,0,1.346574509151005,-0.042795987501371056,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,0.453700125976897
andhra pradesh,nizamabad,453,71,0,524,13.54961832058483,728.0,4813.0,5541.0,3452.0,7527.0,10979.0,16520.0,31.526717557191745,20952.290076295893,0.0,0.0,0.0,0.0,6.263398262591624,3.4820618302969106,9.950050957234733,0.004103817176511097,0.0027486537503234073,False,OK,5.0,2000.0,29.064885497530412,29.064885497530412,Low,High,High,High,0,0.8749018687116544,-0.7939707371252437,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,0.9429577923539231
andhra pradesh,palnadu,759,76,25,860,8.837209302315307,3955.0,21540.0,25495.0,6007.0,4046.0,10053.0,35548.0,41.33488372088217,11689.534883707338,0.6056873896842673,0.0,0.0,0.0,6.7580945044277305,3.7456114204477893,9.366534809082943,0.006735272465266303,0.005914597065163225,False,OK,5.0,2000.0,54.90709532737035,54.90709532737035,Low,High,High,High,1,-0.13357229516115565,-1.5341533910963199,Extreme Youth Gap Districts,Very High Coverage Gap + High Youth + Low Update Activity,0.8172384436125449
andhra pradesh,parvathipuram manyam,464,36,8,508,7.086614173214397,1511.0,7880.0,9391.0,5090.0,5540.0,10630.0,20021.0,39.41141732275707,20925.19685035251,0.0,0.0,0.0,0.0,6.2324480165505225,3.699112352040206,9.948757090871444,0.003978509781808468,0.0033311620299772966,False,OK,5.0,2000.0,27.12598425267298,27.12598425267298,Low,High,High,High,0,1.093960658499339,-1.0552949972442556,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,1.0887253543787898
andhra pradesh,prakasam,6405,1157,61,7623,15.177751541385915,15519.0,104979.0,120498.0,136533.0,75766.0,212299.0,332797.0,43.65695920240802,27849.79666797483,0.0,0.0,0.0,0.0,8.939056445334039,3.799010156373562,10.234616850618641,0.05970114186363376,0.05537189601370333,False,OK,5.0,2000.0,29.55332546393355,29.55332546393355,Low,High,High,High,0,1.362688535416879,0.10579583110477377,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,0.5534415454071449
andhra pradesh,rangareddi,1479,405,0,1884,21.496815286612794,3569.0,18696.0,22265.0,13263.0,41332.0,54595.0,76860.0,40.79617834392739,28978.23779191668,0.0,0.0,0.0,0.0,7.541683099882111,3.7328049081722208,10.274334914352693,0.014754945726234554,0.012788228041758904,False,OK,5.0,2000.0,31.449044588133518,31.449044588133518,Mid,High,High,High,0,1.1244031004714734,-0.18690637308550925,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,0.5860971462468348
andhra pradesh,spsr nellore,1167,713,303,2183,32.66147503434143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.688913336864796,0.0,0.0,0.01709662766473993,0.0,True,No biometric and no demographic activity,0.0,0.0,54.79844251356858,,High,High,High,High,4,-6.247980712156146,0.2415890445145406,Youth + Emerging Load Districts,High Youth + Moderate Stress + Emerging Demand,0.6521436545932174
andhra pradesh,sri potti sriramulu nellore,689,622,303,1614,38.53779429985221,3045.0,19020.0,22065.0,6668.0,3467.0,10135.0,32200.0,19.950433705068185,6279.429987604535,0.5406752775889626,0.0,0.0,0.0,7.387090235656757,3.0421593480664275,8.745193726482103,0.01264038344062769,0.005357545445545625,False,OK,5.0,2000.0,60.891725785312765,60.891725785312765,High,High,High,High,1,-0.9966734843372479,-0.15961299639476423,Extreme Youth Gap Districts,Very High Coverage Gap + High Youth + Low Update Activity,1.3694336993823246
andhra pradesh,sri sathya sai,879,40,19,938,4.26439232408927,3953.0,18154.0,22107.0,5704.0,4711.0,10415.0,32522.0,34.671641791007815,11103.411513847439,0.5288822544895495,0.0,0.0,0.0,6.844815479208263,3.5743560255335542,9.315097742024529,0.007346146014441619,0.005411120900001081,False,OK,5.0,2000.0,50.07901914968295,50.07901914968295,Low,High,High,High,1,-0.04125991651883742,-1.4962821788240979,Extreme Youth Gap Districts,Very High Coverage Gap + High Youth + Low Update Activity,0.9768066607237523
andhra pradesh,srikakulam,4157,135,8,4300,3.1395348837202,24315.0,111384.0,135699.0,125178.0,67429.0,192607.0,328306.0,76.35023255812177,44792.32558138493,0.0,0.0,0.0,0.0,8.366602832783736,4.34834358358368,10.709814424745701,0.03367636232633152,0.05462466816910875,False,OK,5.0,2000.0,25.94186046543001,25.94186046543001,Low,High,High,High,0,1.960672246550413,-0.6121068272543049,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,1.2770156729402298
andhra pradesh,tirupati,802,689,228,1719,40.08144269922043,4768.0,28462.0,33230.0,5633.0,4765.0,10398.0,43628.0,25.37987201860071,6048.865619542729,0.6870899789347069,0.0,0.0,0.0,7.450079569807499,3.272601295821779,8.707791339132376,0.013462713218363693,0.007258974928517531,False,OK,5.0,2000.0,67.94348186583609,67.94348186583609,High,High,High,High,1,-1.1509487525169184,-0.33000358185138207,Extreme Youth Gap Districts,Very High Coverage Gap + High Youth + Low Update Activity,1.3981444141251478
andhra pradesh,visakhapatnam,7874,488,42,8404,5.806758686339147,19864.0,137329.0,157193.0,195385.0,115918.0,311303.0,468496.0,55.74678724416281,37042.241789619584,0.0,0.0,0.0,0.0,9.036582045842716,4.038599042321308,10.519841206248373,0.06581770906755584,0.07794995686510381,False,OK,5.0,2000.0,26.74202760648242,26.74202760648242,Low,High,High,High,0,1.7359660125447922,-0.20536453270321756,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,0.9841689537611092
andhra pradesh,vizianagaram,3695,158,3,3856,4.097510373442921,11069.0,67818.0,78887.0,101296.0,58702.0,159998.0,238885.0,61.951504149361526,41493.257261400024,0.0,0.0,0.0,0.0,8.257644958208228,4.142364654555352,10.633310317400126,0.030199082123333564,0.039746498253390265,False,OK,5.0,2000.0,26.22925311244263,26.22925311244263,Low,High,High,High,0,1.7900297671668441,-0.5625001579386815,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,1.0580692250663906
andhra pradesh,warangal,858,201,0,1059,18.980169971653467,3605.0,31161.0,34766.0,13746.0,38012.0,51758.0,86524.0,81.70349386205694,48874.40982053931,0.0,0.0,0.0,0.0,6.966024187106113,4.415261848562363,10.797029682327485,0.00829378318688025,0.014396157209018311,False,OK,5.0,2000.0,30.694050993394058,30.694050993394058,Mid,High,High,High,0,1.6822184943143532,-0.6679274651451605,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,1.3271593116688276
andhra pradesh,west godavari,5568,343,24,5935,5.779275484413516,14258.0,112548.0,126806.0,139979.0,80435.0,220414.0,347220.0,58.503791069914314,37137.99494523384,0.0,0.0,0.0,0.0,8.688790784847216,4.0860400259825855,10.522422773292119,0.04648121172250641,0.05777164377647055,False,OK,5.0,2000.0,26.733782645901982,26.733782645901982,Low,High,High,High,0,1.7355383057592921,-0.3430246301146521,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,0.9675346069400718
andhra pradesh,y. s. r,738,52,33,823,6.318347509105323,4161.0,24025.0,28186.0,5183.0,3425.0,8608.0,36794.0,44.70716889423486,10459.295261226658,0.694600156105879,0.0,0.0,0.0,6.714170529909472,3.822255154180389,9.255341964871253,0.006445499115016474,0.006121910780229991,False,OK,5.0,2000.0,58.152511278127996,58.152511278127996,Low,High,High,High,1,-0.25089525554657643,-1.7477661011798515,Extreme Youth Gap Districts,Very High Coverage Gap + High Youth + Low Update Activity,0.9513137099072231
arunachal pradesh,anjaw,23,11,3,37,29.729729728926223,128.0,632.0,760.0,675.0,496.0,1171.0,1931.0,52.18918918777867,31648.648647793285,0.0,0.0,0.0,0.0,3.6375861597263857,3.9738551649414555,10.362482326335137,0.008517495395946473,0.01774212813657104,False,OK,5.0,2000.0,33.91891892165084,33.91891892165084,Mid,High,High,High,5,0.8414700297948062,-1.4008445195770762,Mixed Operational Districts,Moderate Across Metrics (Needs Case-by-Case Review),1.1138763044249036
arunachal pradesh,changlang,486,304,13,803,37.85803237853318,690.0,4969.0,5659.0,5436.0,2747.0,8183.0,13842.0,17.237858032357114,10190.535491892664,0.0,0.0,0.0,0.0,6.6895992691789665,2.903499545313895,9.229312801017125,0.18485267034986536,0.12718101380964078,False,OK,5.0,2000.0,36.35740971734576,36.35740971734576,High,High,High,High,3,-0.002686214770524649,0.2411277536850332,Stress Anomaly Districts,High Stress + Low Volume (Operational Inefficiency),1.1605843224212022
arunachal pradesh,dibang valley,7,3,0,10,29.999999997,28.0,132.0,160.0,313.0,158.0,471.0,631.0,63.09999999369,47099.999995289996,0.0,0.0,0.0,0.0,2.3978952727983707,4.1604443638281845,10.760049511101633,0.002302025782688236,0.005797660721997062,False,OK,5.0,2000.0,34.0000000021,34.0000000021,Mid,High,High,High,5,0.9650306485466656,-1.891635123410394,Mixed Operational Districts,Moderate Across Metrics (Needs Case-by-Case Review),1.605483849387605
arunachal pradesh,east kameng,88,79,14,181,43.64640883953787,292.0,1130.0,1422.0,2690.0,1607.0,4297.0,5719.0,31.59668508269836,23740.331491581546,0.0,0.0,0.0,0.0,5.204006687076795,3.4842105986226297,10.074972753009643,0.04166666666665707,0.052546468572268135,False,OK,5.0,2000.0,38.093922656226006,38.093922656226006,High,High,High,High,5,0.39699315741072166,-0.29618238740617187,Mixed Operational Districts,Moderate Across Metrics (Needs Case-by-Case Review),1.285106071207241
